subject,run,epoch,event,Fc5._alpha,Fc5._beta,Fc5._std,Fc3._alpha,Fc3._beta,Fc3._std,Fc1._alpha,Fc1._beta,Fc1._std,Fcz._alpha,Fcz._beta,Fcz._std,Fc2._alpha,Fc2._beta,Fc2._std,Fc4._alpha,Fc4._beta,Fc4._std,Fc6._alpha,Fc6._beta,Fc6._std,C5.._alpha,C5.._beta,C5.._std,C3.._alpha,C3.._beta,C3.._std,C1.._alpha,C1.._beta,C1.._std
S001,3,8,1,7.251346337344039e-11,9.369702772923867e-12,5.2948065835141655e-05,9.42327005396911e-11,1.029902028165704e-11,5.562457148860059e-05,1.1175663639897416e-10,9.671932419674709e-12,5.717076733139845e-05,1.0050779274471726e-10,9.050263493470122e-12,5.558367266280698e-05,9.413108791665336e-11,7.991880281484969e-12,5.206996129036768e-05,6.804130725749607e-11,6.364395546687587e-12,4.549858773217283e-05,3.3906448242208126e-11,4.058032767500879e-12,3.963526194172015e-05,9.05503854423868e-11,1.0328825858856615e-11,5.188461072268376e-05,1.0131172469606435e-10,1.1111544311904978e-11,5.309084921342964e-05,1.2094097508460874e-10,1.0539012115307525e-11,5.375979759434663e-05
S001,3,9,3,2.242232962202067e-11,5.738286178521149e-12,5.0350123212004344e-05,2.1771435427190785e-11,6.9257193642891e-12,4.931457955729012e-05,2.7261681047799972e-11,8.478352118423138e-12,5.2824234620115946e-05,3.2394509276756567e-11,9.931952353561228e-12,5.5393360034790667e-05,2.8505317518778514e-11,1.0167949988346618e-11,6.190419474608351e-05,2.379286599064126e-11,8.99443883772798e-12,6.197358365144754e-05,2.3293848150915603e-11,7.315455980814309e-12,6.768259242822732e-05,1.1935981044208871e-11,6.521449561364469e-12,3.7149525526230876e-05,1.3985655752154253e-11,7.4842492000897e-12,3.9154601163676346e-05,1.8703596842707057e-11,8.182319511942888e-12,4.1852107212379144e-05
S001,3,10,1,2.8755054341911107e-11,1.2780844196086052e-11,3.250089668073146e-05,2.858351248366028e-11,1.3151584741661118e-11,3.652791912088703e-05,2.8108326995357194e-11,1.3328460591513236e-11,4.0902261812756136e-05,2.647842310567815e-11,1.2557231232542653e-11,4.461310231541367e-05,2.8112067405254427e-11,1.4100110105707211e-11,4.2586761819788516e-05,3.10041477577499e-11,1.4376641743480283e-11,4.017926609796352e-05,2.99969586577752e-11,8.97691965897059e-12,3.578026774499234e-05,3.2558809005168256e-11,1.2634620007783037e-11,3.674000637505085e-05,3.199114381605011e-11,1.263698230178204e-11,3.981543609197549e-05,3.0013628926943547e-11,1.2169167593502478e-11,4.3478781949017255e-05
S001,3,11,2,2.8316774369511426e-11,9.047395992812178e-12,3.924882741571775e-05,3.393698596411344e-11,1.2024605503773713e-11,3.684602956759665e-05,3.065823444225262e-11,1.3914145428410278e-11,3.683817233370309e-05,1.966196625858836e-11,1.465203962376174e-11,3.578362656636915e-05,2.0839417524362342e-11,1.1969562132891352e-11,3.573074413465502e-05,1.6076579720574855e-11,9.287773354576204e-12,3.336664827151262e-05,1.1302697279793684e-11,7.327770160599021e-12,3.162289997326789e-05,3.10068618677353e-11,1.0360674606109345e-11,3.898485882484374e-05,3.138986735467381e-11,1.3270524869471016e-11,3.935294725855003e-05,3.1041235419890203e-11,1.4483719172769902e-11,3.903450037597389e-05
S001,3,12,1,2.18386490594603e-11,7.112865170258938e-12,5.188508993557488e-05,2.4537350963347442e-11,7.301809165323841e-12,5.2459089358538175e-05,2.88731125998418e-11,7.086634196386215e-12,5.5399199643357675e-05,3.3983130484860504e-11,7.448426230908263e-12,6.424107693282752e-05,3.5351723132905344e-11,6.095634067432797e-12,5.339675567812677e-05,2.952592251334524e-11,5.299951802877253e-12,4.4768662804700226e-05,1.6243220126506222e-11,3.8893979587943835e-12,3.92099506602842e-05,2.2751392547380316e-11,7.668096872590425e-12,4.434103939220495e-05,2.626521755997391e-11,6.6430620595483495e-12,4.49425230511035e-05,3.166654940362834e-11,5.876687365696153e-12,5.128431701380531e-05
S001,3,13,2,1.8933998945293636e-11,7.760850711249431e-12,7.759995946963101e-05,2.005922817897553e-11,8.136399137085952e-12,6.967663826906588e-05,1.788803894910279e-11,8.068239184878622e-12,6.064846793675717e-05,1.4409236643655285e-11,8.276475762320916e-12,4.941138082154578e-05,1.26815828066367e-11,6.868562235748485e-12,5.114735858150643e-05,1.3223448949552414e-11,5.735257790550097e-12,5.0982022737475606e-05,9.71197013605193e-12,4.82752021952622e-12,5.087647394972122e-05,1.833578289105662e-11,8.112234033889828e-12,7.95825536635031e-05,1.7628798602132212e-11,7.752821896186122e-12,6.249162884904312e-05,1.5415796394483087e-11,8.213021508726225e-12,5.587016428669065e-05
S001,3,14,1,2.995506919941741e-11,1.1898471323775609e-11,5.339968632080649e-05,3.1935569844223257e-11,1.5472312657916327e-11,5.1489400597124694e-05,2.8701095162269608e-11,1.4030885186436754e-11,4.6988233637865495e-05,2.6165201466068312e-11,1.4973068817693986e-11,4.460229651897477e-05,2.354245657165256e-11,1.5381782622367863e-11,4.3143054627884034e-05,2.0386610530051522e-11,1.2735753209924439e-11,4.563622079064739e-05,1.5796642958889228e-11,9.049739480706247e-12,3.72097827092671e-05,2.7743659404695522e-11,1.1540668804967033e-11,5.2967768458677635e-05,3.0189501984256664e-11,1.2797771121778875e-11,4.6370987643839025e-05,2.214241886761962e-11,1.0469927446380218e-11,4.265455371846777e-05
S001,3,15,3,2.2163489613248683e-11,1.0779295615569426e-11,5.2209736089558224e-05,1.681706432877558e-11,1.4214196384198856e-11,4.709021758199596e-05,1.6356198104146632e-11,1.5544476945169162e-11,4.5418814200060764e-05,2.2585609739423394e-11,1.6351888474836505e-11,4.580225079332975e-05,2.012468378164242e-11,1.4384104202872135e-11,3.929506649136067e-05,1.5234900980021543e-11,1.2562071884880142e-11,3.600094783029056e-05,1.2614045219949252e-11,8.122799265488334e-12,2.2483012590510182e-05,2.1765321411499546e-11,1.0144347632243438e-11,4.92224492128045e-05,1.373388967056474e-11,1.1947356352017287e-11,4.3413619799546e-05,1.149070676527437e-11,1.328208494103942e-11,4.524326854535419e-05
S001,3,16,1,4.431156367189068e-11,9.82287861780497e-12,4.4537359398787746e-05,4.3784571565160405e-11,1.1763315814269471e-11,4.802481461171638e-05,4.934721413940874e-11,1.1189363009185663e-11,4.938263045015651e-05,5.0379541110087e-11,9.508636382135271e-12,5.142124094517185e-05,3.748562230706182e-11,7.634585695636935e-12,5.4681682069735226e-05,2.366148100112029e-11,5.425315225053552e-12,4.864060928099089e-05,1.3052940216788204e-11,3.904084050067976e-12,4.738861965180225e-05,4.768837309186194e-11,9.908259831222184e-12,4.084603956311525e-05,4.82514420120482e-11,7.662131983372349e-12,4.23008634623437e-05,4.601047303191051e-11,7.547056669530647e-12,4.3520112300955126e-05
S001,3,17,2,1.8859686721844496e-11,7.80198955845355e-12,8.430804337508418e-05,2.1736533846431357e-11,9.023718152684129e-12,8.129028849965714e-05,2.1477075021997794e-11,9.634772515741737e-12,7.782401907317318e-05,2.2235763035889637e-11,9.442078563209638e-12,8.033865358293016e-05,2.3384316519109334e-11,9.842182270840277e-12,7.519323786061434e-05,1.835653783630073e-11,9.321713056187295e-12,7.310822279188603e-05,1.124790098142353e-11,7.943268633868642e-12,6.850465164709202e-05,1.5303658685370898e-11,8.270339845608312e-12,7.252393146731083e-05,1.564803043390792e-11,1.0050713001149395e-11,6.98159928831404e-05,1.471551396973413e-11,8.91991765627134e-12,6.449476274731218e-05
S001,3,18,1,2.91949302774831e-11,1.2107941355742016e-11,7.594819713343958e-05,2.7364781250681974e-11,1.1633060939562855e-11,7.090833001568093e-05,2.5906202514777962e-11,1.0295253460442638e-11,7.032892219144331e-05,2.413661141340749e-11,1.0074346511872012e-11,6.694608692199833e-05,2.102733276566612e-11,7.641481889991334e-12,6.657977567443018e-05,2.041779095384196e-11,6.347869318855779e-12,6.071833719794975e-05,1.6294580714628208e-11,4.982897536887007e-12,5.8017064850442945e-05,4.2603800975784336e-11,1.093888573505072e-11,6.264183641971441e-05,3.74236194291812e-11,1.043084224459228e-11,5.936453175554261e-05,3.275883054607257e-11,9.341398606541184e-12,5.8391762659201346e-05
S001,3,19,3,2.906868440374133e-11,1.0702553785926934e-11,3.5542825667085754e-05,3.396089522057704e-11,1.04938360870524e-11,3.6611626242681056e-05,3.465645209125068e-11,1.0952566391629847e-11,3.663932313255534e-05,2.3708893898622595e-11,1.1763754562676416e-11,4.271680579839103e-05,2.560335296418347e-11,1.137918510171561e-11,3.829268612233668e-05,2.123000395416513e-11,9.7626927334997e-12,3.532872220982949e-05,1.750283299773969e-11,5.918539847882227e-12,3.152945819725729e-05,4.045809475279535e-11,1.4649795764814455e-11,3.673220149676631e-05,4.569747116567257e-11,1.171897518026796e-11,3.655308159897154e-05,4.051900200492995e-11,1.1782086182298556e-11,3.594808029988418e-05
S001,3,20,1,1.9461892788275927e-11,6.96877072437411e-12,4.801409870809642e-05,2.255052782888923e-11,6.18814019495184e-12,4.710640469843291e-05,2.7324833100073442e-11,6.868551625550304e-12,5.118370259545451e-05,3.479729738850232e-11,8.982145671733182e-12,5.841565191870959e-05,3.738501120547784e-11,9.211112468448069e-12,5.584351398481842e-05,2.4675187016248202e-11,9.493925347430255e-12,5.273844850264671e-05,1.753528349213577e-11,6.629919032729376e-12,4.648927954742446e-05,2.1820716838050524e-11,8.117742211856378e-12,4.582970982217199e-05,1.9166544129158855e-11,7.502929723163407e-12,4.4004651477057706e-05,2.0069357548508898e-11,6.840752486770521e-12,4.411815612870747e-05
S001,3,21,3,1.568337471260661e-11,8.928957989835052e-12,3.408881490400588e-05,8.725416008819229e-12,7.282912126726356e-12,3.61228275181898e-05,1.0798811970246927e-11,7.717762982901281e-12,4.251700088178054e-05,1.6473364650395348e-11,8.23939217988739e-12,4.6957074423807006e-05,1.8525635743751596e-11,8.335878519676922e-12,4.483034684727768e-05,1.8594365656181074e-11,6.909020339054095e-12,4.105217488608714e-05,1.10458275446421e-11,4.862085266969067e-12,3.8898137117158406e-05,1.3896456712591846e-11,9.441166987148289e-12,3.748583671614453e-05,9.899242767317002e-12,6.899808271272255e-12,3.646148692423869e-05,8.545832260154461e-12,7.867792495592182e-12,4.1034230071700813e-05
S001,3,22,1,1.457828669027825e-11,1.306443895984599e-11,3.759339363143246e-05,1.9239253226108623e-11,1.1482706695166379e-11,3.959046251803656e-05,2.0847684607906246e-11,9.740209115472638e-12,4.258848117572995e-05,2.2257687607170324e-11,7.546131563291769e-12,4.3077757036200045e-05,1.575710338016619e-11,6.648890809147372e-12,3.857076212319211e-05,1.3503895372187078e-11,5.309069208352376e-12,3.338198359647197e-05,1.0472585123818341e-11,4.3424037140201074e-12,2.8201619008833225e-05,2.1461982120485477e-11,1.1980319092187624e-11,3.782827266154465e-05,2.4250108894497312e-11,1.0366404570830183e-11,3.6768962188105475e-05,2.2481881836629797e-11,9.960727244305705e-12,3.8815926852825894e-05
S001,3,23,2,2.1894545621181244e-11,1.0224920002971614e-11,8.171419862001734e-05,2.6449504695909632e-11,1.2777365703163956e-11,7.938017863402256e-05,2.601887547042667e-11,1.1170355179046556e-11,7.702962044958344e-05,2.6945294369550996e-11,7.780656401365259e-12,7.267574732455362e-05,1.9129668198487958e-11,6.770939964140343e-12,7.097316183732345e-05,1.6471120934423622e-11,5.7697407340210714e-12,6.472234542611479e-05,1.2240420237729695e-11,5.517716147714939e-12,7.146328617785914e-05,2.995447193419483e-11,1.103422641462204e-11,6.421521842994729e-05,3.282290495086715e-11,1.008243194685222e-11,6.644219261568057e-05,3.053253019177857e-11,9.734259831345817e-12,6.17499142620869e-05
S001,3,24,1,2.0708240768696188e-11,9.01676035751725e-12,5.317543991776907e-05,1.9486941820961145e-11,7.524698575478614e-12,5.2978928633971295e-05,2.1081068414356052e-11,7.830110464124466e-12,5.384334582739534e-05,2.727641277504759e-11,1.0070754522029346e-11,5.6375202606380344e-05,2.1434870665884843e-11,9.704275465577763e-12,5.1304801201575735e-05,1.2416501048472044e-11,8.521390984905794e-12,4.757430122546269e-05,5.967328173817184e-12,6.663927530536413e-12,5.14132238945456e-05,2.12226675389568e-11,1.111266692887143e-11,5.4756064230422124e-05,1.740702422644102e-11,8.615758334500234e-12,5.115105180384418e-05,2.0833716309840164e-11,8.195432057247359e-12,5.393984443502333e-05
S001,3,25,2,2.1184989286019067e-11,1.8266567990417566e-11,5.841128240909916e-05,2.4497378400121064e-11,1.8600814011414456e-11,5.578910902066312e-05,2.0952483421060362e-11,1.4977071756413355e-11,5.030507351342968e-05,1.5520494636426426e-11,9.00731519070039e-12,4.597374060763195e-05,1.8692025705802722e-11,6.002327838896421e-12,4.746467825974616e-05,1.7450166641622938e-11,4.247621230857016e-12,5.203179091708964e-05,1.1534168623924726e-11,6.04019801760124e-12,5.103622561244051e-05,1.7552623893656258e-11,1.5494620459698198e-11,4.9218399897612314e-05,1.861062055935438e-11,1.5761147022030113e-11,5.437537921247574e-05,1.532829445884578e-11,1.7041367623313095e-11,5.410501264862027e-05
S001,3,26,1,2.8371703174485403e-11,9.752102535685805e-12,4.1506581224836407e-05,3.52337682264959e-11,9.667197661528143e-12,4.1140962776050245e-05,3.9037894683529184e-11,1.0172177276700727e-11,4.367998035491173e-05,4.327064826204234e-11,1.0735308618973009e-11,4.382307335115845e-05,5.460506508709641e-11,1.152661888043257e-11,4.71115852055909e-05,5.187122684064163e-11,9.236910719473928e-12,4.6474149646226084e-05,3.315800658271773e-11,7.844457082745261e-12,5.253005042385759e-05,3.5942490232161e-11,1.1403479990936286e-11,3.999053832642262e-05,4.0289996293783245e-11,1.0610562993146338e-11,3.980725194827752e-05,4.667111068101802e-11,1.0190374754172537e-11,4.21638213641509e-05
S001,3,27,3,4.3403738324711196e-11,2.0387491645723684e-11,5.760192778719473e-05,3.654644708839376e-11,2.3205499163566222e-11,5.601544941591517e-05,3.8405957116852754e-11,2.471039776948531e-11,5.325847276941186e-05,5.7080339386534004e-11,2.3685619287693936e-11,4.6432950430553946e-05,4.6378089291583726e-11,2.1601344750871316e-11,4.6451703471750646e-05,2.970057536919744e-11,1.8332715311176063e-11,4.3492105511418555e-05,1.2797488047856623e-11,1.1637332289995251e-11,4.0837827403624966e-05,4.686928589883879e-11,2.0744640947495575e-11,5.471273641461462e-05,3.7826737356336946e-11,2.35705025691521e-11,5.5459825091877713e-05,3.828195375344774e-11,2.408926736037441e-11,5.353966007493353e-05
S001,3,28,1,3.089434143477126e-11,9.549084923197571e-12,5.236863848372613e-05,2.4542257384030866e-11,9.628798311137127e-12,4.7491091902943544e-05,2.140351958572303e-11,1.1340527232451953e-11,4.539952099991229e-05,1.9521624131253215e-11,1.6576209558354657e-11,5.6625628787502325e-05,1.991303906691565e-11,1.999109556685156e-11,4.6797754569904396e-05,2.0889614266675658e-11,2.0676202052818505e-11,4.216712740595561e-05,1.4564097494507226e-11,1.5196194343194787e-11,3.7455040222153136e-05,3.1381069999868255e-11,1.0657640870090146e-11,5.083669293063389e-05,2.16280750505488e-11,1.0198217872895907e-11,4.274947655075436e-05,2.1543894266851312e-11,1.1761481199644605e-11,4.3937233287265004e-05
S001,3,29,2,1.8364765935325023e-11,6.569472418531579e-12,7.180609604887581e-05,2.5144138956548695e-11,6.702299358415796e-12,6.545362952975052e-05,3.342121196695513e-11,7.790542108267526e-12,6.296527740365657e-05,3.514176828667858e-11,7.926452050859034e-12,6.284326841538598e-05,3.1988519370582397e-11,7.528925930837149e-12,6.048097479238438e-05,2.544752541503638e-11,6.662328653242161e-12,5.405543005781437e-05,1.8966614048433884e-11,5.146042410270288e-12,4.986974386295352e-05,1.8772185363986703e-11,6.885199909914298e-12,6.471719936518725e-05,3.187576507107255e-11,8.214731393717012e-12,6.097980486960541e-05,3.680540633392737e-11,8.426052784494625e-12,6.028617631680149e-05
S001,4,0,1,1.90965988697444e-11,9.486709524517619e-12,5.4473979181413454e-05,2.068733183953109e-11,9.40702922324239e-12,5.456828148087291e-05,3.3840386430299806e-11,1.0980486966651733e-11,5.095279352709323e-05,4.861638667904244e-11,1.4236422048848439e-11,4.8736664119719425e-05,5.278133088498687e-11,1.4476566358641103e-11,4.56209068968108e-05,4.722226118245486e-11,1.1634803388711557e-11,4.2542068393474234e-05,2.3979717042562787e-11,6.628007498412309e-12,3.749868370473471e-05,2.7720613962463153e-11,1.020050721987416e-11,5.0570960209184054e-05,2.868692780326687e-11,8.401194487485949e-12,5.089372221673069e-05,3.3189701652743026e-11,1.0014536808702377e-11,4.919147571464433e-05
S001,4,1,3,1.8348450258805113e-11,6.9050130494731e-12,3.910779424680505e-05,1.7428023214808873e-11,7.597179468406612e-12,4.8909980354906794e-05,1.8587223821591612e-11,8.647895924621668e-12,4.932479925618777e-05,2.1250495684105808e-11,8.526169974762205e-12,5.239266191930745e-05,1.615110511474374e-11,8.580017555259912e-12,5.4669862968407936e-05,1.2164906114809743e-11,8.334561240764089e-12,4.9199622628837344e-05,8.293477505076222e-12,8.548664907845775e-12,3.669267770972472e-05,1.4224889294025847e-11,5.91631906507694e-12,4.969268881230253e-05,1.3262445405885e-11,6.280970047039619e-12,4.6012390401471106e-05,1.4535320456260848e-11,7.666537711650371e-12,5.1888126718121695e-05
S001,4,2,1,1.8713302874563643e-11,1.4310476429342861e-11,5.6148386770623665e-05,1.8838361293687223e-11,1.4982420373699412e-11,4.755310947873395e-05,1.9578944348948455e-11,1.5546355342731572e-11,4.690401938306911e-05,1.6993318331606665e-11,1.3395953627603517e-11,4.3683857468684003e-05,1.3459507656150131e-11,1.1247707904501502e-11,4.299647461615215e-05,1.1823074114215222e-11,8.518991109283745e-12,3.4987746837170824e-05,9.019518397969128e-12,9.506753905089193e-12,2.9840690740759298e-05,2.0138936042153422e-11,1.2487875549514225e-11,5.468823829994905e-05,2.209525778078668e-11,1.2430252770645549e-11,4.6856029133445026e-05,2.185757502957688e-11,1.2072124718926508e-11,4.702406038221924e-05
S001,4,3,2,2.2103185950357302e-11,1.0919955198035707e-11,3.4306634876831594e-05,1.306032791041108e-11,1.099939535715888e-11,3.857918643811004e-05,9.545577218115515e-12,1.1093290185334398e-11,4.183504534840372e-05,9.037166741614954e-12,9.895036482872321e-12,4.316780737718726e-05,9.088263025705213e-12,9.949177649810133e-12,4.2908547490608516e-05,6.403387446475282e-12,8.98234200026508e-12,3.9411434973927644e-05,3.848867055052712e-12,8.232962786611623e-12,3.405831396741884e-05,2.512275371997723e-11,1.3268066918126184e-11,3.393315676325965e-05,1.679835762583276e-11,1.1828861079831876e-11,3.984854747859161e-05,1.1963562438220012e-11,1.1157262074489982e-11,4.468707027176329e-05
S001,4,4,1,1.3797014015313025e-11,9.250861567250564e-12,3.422293649985221e-05,1.7358779148390378e-11,9.158907454200793e-12,3.6702374247254445e-05,1.785910042232715e-11,1.0055071493370815e-11,3.9332712545428716e-05,1.4196493116149435e-11,1.0654284616423277e-11,4.186112540680134e-05,1.5073058813622296e-11,9.473287888622192e-12,3.987984544806121e-05,8.738314969726547e-12,7.266227226614715e-12,3.408339020112322e-05,5.2937725466583166e-12,5.273990803320193e-12,2.8765307927933897e-05,1.614045757104128e-11,9.625962896455233e-12,3.531182316384618e-05,2.0185447418578133e-11,8.149649663119311e-12,3.820001894736597e-05,2.4362136300424954e-11,7.351715108111494e-12,4.0482854416806135e-05
S001,4,5,2,2.447252437006848e-11,1.4237631227557005e-11,7.967221634202952e-05,2.1986537738291394e-11,1.9246413001232465e-11,7.649116537389402e-05,2.4731438538971207e-11,2.225727750819811e-11,7.51488593022851e-05,3.453869047615349e-11,1.8420103515420544e-11,7.328198958525744e-05,3.079789789279125e-11,1.6151770427417546e-11,6.694434441368861e-05,2.6511126108167473e-11,1.4745544412404094e-11,5.5850284488295574e-05,1.3514574724539057e-11,1.1301571108067489e-11,4.1792304946591615e-05,2.3058661527978934e-11,1.3513594011213747e-11,7.326680416227145e-05,2.336971249359177e-11,1.4380442074018026e-11,7.066527436964476e-05,2.3929735506252187e-11,1.463689968646855e-11,7.247566397070325e-05
